distance_km,speed_limit_kmh
0,60
1.04,60
1.97,80
5.0,100
12.2,100
18.5,80
21.3,100
27.7,80
30,100
35.2,100
40.6,110
47,110
51,130
59,100
62,130
79,100
82,80
83,60
87,130
98,60
101,130
110,100
111,60
113,80
114,100
114.5,130
163,130
168.5,100
170.5,130
192,80
193,130
222,100
229,130
249,130
304,110
309,100
311.6,80
313,60
314.5,40
315.6,80
316,60
316,80
322,25
323,100
324,110
333,130
417,100
419,80
420,50
422,80
423,100
425,130
458,130
495,80
496,60
497,130
534,100
548,100
549,80
553,100
584,80
588,130
629,80
630,80
632,130
657,100
660,130
710,130
729,80
730,70
731,60
734,80
735,100
737,130
740,100
824,80
883,80
884,100
914,130
960,100
962,130
980,100
982,80
984,50
988,80
990,100
993,130
1056,130
1101,100
1104,130
1120,100
1211,100
1212,80
1213,130
1300,100
1301,80
1301,60
1302,80
1302,100
1304,130
1360,10
1360,80
1362,130
1424,130
1473,110
1483,100
1488,80
1490,70
1492,60
1495.5,60
1498,60
1500,70
1500.5,80
1504,100
1506,100
1511,110
1516,110
1517,130
1585,100
1585.5,80
1586.7,100
1587.5,130
1691,80
1693,80
1695,130
1767,100
1769,80
1769,100
1770,130
1789,110
1808,110
1904,110
1943,110
1948,110
2028,110
2180,80
2181,50
2182,110
2244,80
2245,60
2273,110
2381,100
2431,80
2431,60
2435,110
2557,110
2573,80
2573,60
2574,40
2576,60
2576.8,110
2577,80
2713,80
2713,60
2717,40
2717,60
2720.5,50
2721,60
2722.8,40
2724,80
2739,40
2745,110
2752,80
2753,110
2760,80
2766,110
2773,80
2780,60
2781,110
2788,110
2804,100
2814,80
2815,110
2820,110
2835,110
2883,110
2897,80
2897,60
2899,110
2907,110
2918,110
2927,80
2928,50
2929,50
2932,110
2984,110
2986,110
2992,80
2998,90
3005,90
3007,80
3007.5,90
3009.8,80
3012.5,80
3013.7,70
3014.7,70
3015.4,70
3015.9,60
3021.35,60
