distance_km,type
0.30,traffic_light
0.56,traffic_light
1.03,traffic_light
4.7,traffic_light
6.2,traffic_light
14.9,traffic_light
19.9,traffic_light
20.5,traffic_light
24,traffic_light
29,traffic_light
34,traffic_light
39.6,traffic_light
315,traffic_light
316,traffic_light
1494,traffic_light
1494.7,traffic_light
1495,traffic_light
2717.9,pedestrian_light
2718.2,traffic_light
2719.4,traffic_light
2721,traffic_light
2992,traffic_light
3003,traffic_light
3006.8,traffic_light
3007,traffic_light
3009.5,traffic_light
3010.8,traffic_light
3012,traffic_light
3014,traffic_light
3015.2,traffic_light
3016.3,traffic_light
3017,traffic_light
3019.1,traffic_light
3019.4,pedestrian_light
3019.5,traffic_light
3020,pedestrian_light
3021.2,traffic_light
3022.2,traffic_light
3022.6,pedestrian_light
3023.1,traffic_light
3024.3,traffic_light
3024.5,traffic_light
3025.07,traffic_light
