DY,HR,temperature_2m,wind_speed_10m,wind_direction_10m,shortwave_radiation,surface_pressure,temperature_2m_std,wind_speed_10m_std,shortwave_radiation_std,surface_pressure_std,total_distance_m,lat,lon
22,7,23.25,8.783333333,117.3333333,14.66666667,1010.8,1.212847888,5.385690918,0.816496581,1.141928194,0,-12.4660184,130.8427841
22,8,24.31666667,9.933333333,116.6666667,170.8333333,1011.433333,1.579134784,4.82479706,13.64429063,1.207752734,0,-12.4660184,130.8427841
22,9,25.88333333,8.516666667,113.5,401.1666667,1011.65,1.235178799,2.938990756,23.97846256,1.16747591,0,-12.4660184,130.8427841
22,10,27.85,6.316666667,113,617.6666667,1011.716667,0.709224929,3.313859784,11.14749598,1.121457385,0,-12.4660184,130.8427841
22,11,29.46666667,5.716666667,151.3333333,782.6666667,1011.083333,0.791622806,4.275238785,11.97775716,1.125018518,0,-12.4660184,130.8427841
22,12,30.15,9.683333333,232.3333333,878,1010.05,1.076568623,4.746963942,16.46815108,1.136221809,0,-12.4660184,130.8427841
22,13,29.46666667,16.35,288.3333333,897.3333333,1008.933333,1.631767957,6.401796623,26.6733325,1.24365054,0,-12.4660184,130.8427841
22,14,29.05,19.83333333,287.5,841.8333333,1007.9,1.65257375,6.072780802,35.91332158,1.258570618,0,-12.4660184,130.8427841
22,15,28.7,20.21666667,351.3333333,714.5,1007.116667,0.959166305,2.443290131,31.69700301,1.137394684,0,-12.4660184,130.8427841
22,16,28.48333333,18.6,231.8333333,544.5,1006.833333,0.682397733,4.408627904,12.0124935,1.050079362,0,-12.4660184,130.8427841
22,17,28.33333333,15.38333333,223.3333333,328.1666667,1007,0.972967968,4.742327136,6.462713568,1.043072385,0,-12.4660184,130.8427841
22,18,27.38333333,12.41666667,204.8333333,105,1007.416667,0.783368794,2.840011737,2.097617696,0.992807467,0,-12.4660184,130.8427841
23,7,23.91666667,6.05,111.6666667,15.16666667,1010.5,0.685322309,3.342304594,1.169045194,1.492648653,0,-12.4660184,130.8427841
23,8,25.26666667,7.633333333,121.1666667,173,1011.016667,0.71460945,2.4516661,15.42724862,1.460707591,0,-12.4660184,130.8427841
23,9,26.68333333,6.85,114.8333333,408.3333333,1011.2,0.475043858,2.959560778,6.683312552,1.471054044,0,-12.4660184,130.8427841
23,10,28.3,6.1,142.5,618.5,1011.3,0.586515132,3.584968619,5.89067059,1.457394936,0,-12.4660184,130.8427841
23,11,29.93333333,6.716666667,128.1666667,778.6666667,1010.633333,0.731209044,4.028606045,12.09407568,1.250066665,0,-12.4660184,130.8427841
23,12,30.96666667,10.08333333,219,874.3333333,1009.566667,1.01718566,4.597571823,17.99629592,1.143095213,0,-12.4660184,130.8427841
23,13,30.36666667,15.7,203,888.5,1008.466667,1.600833116,4.215210552,40.71731818,1.120119041,0,-12.4660184,130.8427841
23,14,29.48333333,17.48333333,303.1666667,840.6666667,1007.466667,1.694009052,8.291059442,37.49488854,1.130781441,0,-12.4660184,130.8427841
23,15,29.23333333,17.11666667,226.5,716.5,1006.683333,0.799166232,5.465314874,45.00555521,1.012752026,0,-12.4660184,130.8427841
23,16,28.85,19.15,290.3333333,536.8333333,1006.35,0.677495387,2.63799166,35.75705059,1.021273715,0,-12.4660184,130.8427841
23,17,28.23333333,17.25,228,323.1666667,1006.483333,1.409491634,4.53552643,22.47146339,1.105290309,0,-12.4660184,130.8427841
23,18,27.36666667,13.01666667,155.1666667,104.3333333,1006.766667,1.070825227,5.331197489,5.316640543,1.081973506,0,-12.4660184,130.8427841
24,7,24,10.61666667,126.5,16,1010.816667,1.003992032,8.176409155,0.632455532,1.178841239,0,-12.4660184,130.8427841
24,8,24.93333333,11.63333333,126.8333333,177.6666667,1011.316667,1.220928608,9.269879539,16.26857912,1.313646325,0,-12.4660184,130.8427841
24,9,26.25,10.93333333,172.3333333,404.5,1011.416667,1.259761882,8.929874952,37.14162086,1.349691323,0,-12.4660184,130.8427841
24,10,28.08333333,11.98333333,170.6666667,605.8333333,1011.616667,1.514485611,8.108616816,63.70688084,1.319722193,0,-12.4660184,130.8427841
24,11,29.65,12.61666667,176.1666667,781.3333333,1011,1.73060683,7.688541257,37.81886654,1.263328936,0,-12.4660184,130.8427841
24,12,30.68333333,13.35,176.1666667,876.8333333,1010.016667,1.807115565,5.124353618,40.54339239,1.276583983,0,-12.4660184,130.8427841
24,13,31.05,14.65,230.5,894.5,1008.866667,1.826198237,3.416869913,60.40115893,1.235583533,0,-12.4660184,130.8427841
24,14,29.98333333,17.1,253.6666667,817,1007.95,1.420445939,4.532107677,106.1922784,1.212847888,0,-12.4660184,130.8427841
24,15,28.6,21.01666667,306.5,704.3333333,1007.35,1.340149245,4.87787522,71.29562866,1.164044673,0,-12.4660184,130.8427841
24,16,28.75,17.25,249.6666667,523.5,1006.883333,1.266096363,4.859115146,54.78959755,1.172035267,0,-12.4660184,130.8427841
24,17,29.03333333,13.8,178,316.6666667,1007.033333,1.057670396,4.082646201,29.28936098,1.146589145,0,-12.4660184,130.8427841
24,18,28.03333333,11.13333333,170.8333333,103.3333333,1007.416667,0.595538972,3.323652609,8.959166628,1.151375988,0,-12.4660184,130.8427841
25,7,22.85,10.91666667,118.8333333,15,1010.833333,2.054993917,9.350169339,5.513619501,1.206095629,0,-12.4660184,130.8427841
25,8,23.45,11.83333333,140.5,156.8333333,1011.316667,2.106893448,9.514340054,64.75003218,1.339278413,0,-12.4660184,130.8427841
25,9,25.33333333,12.36666667,135.5,372.3333333,1011.416667,2.163947011,8.400872971,121.7565878,1.594260539,0,-12.4660184,130.8427841
