can_id,group,priority,name,tx_period_ms,source,note
0x040,BMS(HV) BOT,PRIMARY,Global_Fault,100,설정(임의),전력·가속도 해상도 필요
0x041,BMS(HV) BOT,PRIMARY,Stack_Voltage,100,설정(임의),전력·가속도 해상도 필요
0x042,BMS(HV) BOT,PRIMARY,Pack_Current,100,설정(임의),전력·가속도 해상도 필요
0x043,BMS(HV) BOT,PRIMARY,SOC_Permille,100,설정(임의),전력·가속도 해상도 필요
0x044,BMS(HV) TOP,PRIMARY,Global_Fault,100,설정(임의),전력·가속도 해상도 필요
0x045,BMS(HV) TOP,PRIMARY,Stack_Voltage,100,설정(임의),전력·가속도 해상도 필요
0x046,BMS(HV) TOP,PRIMARY,MaxCell_Voltage,100,설정(임의),전력·가속도 해상도 필요
0x047,BMS(HV) TOP,PRIMARY,SOC_Permille,100,설정(임의),전력·가속도 해상도 필요
0x402,Motor,PRIMARY,Bus_Voltage,100,설정(임의),전력·가속도 해상도 필요
0x403,Motor,PRIMARY,Motor_Velocity,100,설정(임의),전력·가속도 해상도 필요
0x6F4,BMS(LV),PRIMARY,팩 충전 상태,100,설정(임의),전력·가속도 해상도 필요
0x6FA,BMS(LV),PRIMARY,배터리 팩 전체 전압,100,설정(임의),전력·가속도 해상도 필요
0x048,BMS(HV) BOT,DETAIL(셀전압),Cell[0..15] 전압,1000,설정(임의),
0x049,BMS(HV) BOT,DETAIL(셀전압),Cell[0..15] 전압,1000,설정(임의),
0x04A,BMS(HV) BOT,DETAIL(셀전압),Cell[0..15] 전압,1000,설정(임의),
0x04B,BMS(HV) BOT,DETAIL(셀전압),Cell[0..15] 전압,1000,설정(임의),
0x04C,BMS(HV) BOT,DETAIL(온도),CellTemp,1000,설정(임의),
0x04D,BMS(HV) BOT,DETAIL(온도),AvgCellTemp,1000,설정(임의),
0x04E,BMS(HV) BOT,DETAIL(쿨롱),AccumChargeInt,1000,설정(임의),
0x04F,BMS(HV) BOT,DETAIL(쿨롱),AccumChargeTime,1000,설정(임의),
0x050,BMS(HV) BOT,DETAIL(쿨롱),CC3Counts,1000,설정(임의),
0x051,BMS(HV) TOP,DETAIL(셀전압),BOT과 동일 항목,1000,설정(임의),
0x052,BMS(HV) TOP,DETAIL(셀전압),BOT과 동일 항목,1000,설정(임의),
0x053,BMS(HV) TOP,DETAIL(셀전압),BOT과 동일 항목,1000,설정(임의),
0x054,BMS(HV) TOP,DETAIL(셀전압),BOT과 동일 항목,1000,설정(임의),
0x055,BMS(HV) TOP,DETAIL(온도),BOT 0x04C와 동일 항목,1000,설정(임의),
0x056,BMS(HV) TOP,DETAIL(온도),BOT 0x04D와 동일 항목,1000,설정(임의),
0x057,BMS(HV) TOP,DETAIL(쿨롱),BOT 0x04E와 동일 항목,1000,설정(임의),
0x058,BMS(HV) TOP,DETAIL(쿨롱),BOT 0x04F와 동일 항목,1000,설정(임의),
0x059,BMS(HV) TOP,DETAIL(쿨롱),BOT 0x050과 동일 항목,1000,설정(임의),
0x05A,BMS(HV) BOT,SD_ONLY(SAFETY),PF_ProtectionsTriggered,1000,설정(임의),
0x05B,BMS(HV) BOT,SD_ONLY(PF),PFStatus A/B/C/D,1000,설정(임의),
0x05C,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status1,1000,설정(임의),
0x05D,BMS(HV) BOT,SD_ONLY(CUV),CUV,1000,설정(임의),
0x05E,BMS(HV) BOT,SD_ONLY(CUV),CUV,1000,설정(임의),
0x05F,BMS(HV) BOT,SD_ONLY(CUV),CUV,1000,설정(임의),
0x060,BMS(HV) BOT,SD_ONLY(CUV),CUV,1000,설정(임의),
0x061,BMS(HV) BOT,SD_ONLY(COV),COV,1000,설정(임의),
0x062,BMS(HV) BOT,SD_ONLY(COV),COV,1000,설정(임의),
0x063,BMS(HV) BOT,SD_ONLY(COV),COV,1000,설정(임의),
0x064,BMS(HV) BOT,SD_ONLY(COV),COV,1000,설정(임의),
0x065,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status2[0..15] 비트맵,1000,설정(임의),
0x066,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status2[0..15] 비트맵,1000,설정(임의),
0x067,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status2[0..15] 비트맵,1000,설정(임의),
0x068,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status2[0..15] 비트맵,1000,설정(임의),
0x069,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status3[0..15] 비트맵,1000,설정(임의),
0x06A,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status3[0..15] 비트맵,1000,설정(임의),
0x06B,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status3[0..15] 비트맵,1000,설정(임의),
0x06C,BMS(HV) BOT,SD_ONLY(밸런싱),CB_Status3[0..15] 비트맵,1000,설정(임의),
0x06D,BMS(HV) TOP,SD_ONLY(SAFETY/PF),BOT과 동일 항목,1000,설정(임의),
0x070,BMS(HV) TOP,SD_ONLY(CUV),BOT과 동일 항목,1000,설정(임의),
0x071,BMS(HV) TOP,SD_ONLY(CUV),BOT과 동일 항목,1000,설정(임의),
